param I := 200;
param J := 50;	
120	273.544 538.722 237.724 812.926 64.694 183.134 815.261 160.717 104.262 225.54 245.14 634.626 590.561 86.46 273.544 86.88 404.518 397.81 245.14 888.98 327.161 455.906 235.039 377.981 332.756 175.328 28.82 285.997 425.988 173.895 463.386 234.052 148.161 122.711 674.752 211.972 629.909 285.997 288.2 302.231 731.707 715.462 155.305 64.5062 436.163 115.28 163.427 469.233 311.119 312.785 
121	608.45 590.063 767.335 1754.09 450.212 415.313 2234.46 487.774 221.104 437.372 297.406 707.753 596.856 79.3991 301.011 91.5354 375.778 2435.92 782.015 4712.04 1000.93 1307.68 501.017 2014.33 1197.3 146.981 0 286.702 451.543 244.577 1395.59 440.525 439.265 1110.78 3878.95 1335.32 1120.27 1469.62 259.38 311.701 759.077 1717.93 129.012 201.036 1239.76 104.746 502.812 1079.21 1611.43 297.822 
122	253.509 465.265 125.389 905.943 158.647 176.101 947.112 210.918 98.4463 178.515 312.203 674.595 613.328 0 356.586 122.57 318.34 737.73 239.615 1378.73 426.175 635.506 330.87 643.101 275.914 91.1812 79.3991 233.206 503.713 203.808 619.98 321.608 74.9109 136.228 925.966 259.274 457.886 481.22 201.74 337.297 632.59 455.241 81.7135 71.8875 482.153 28.82 119.371 384.601 353.239 274.606 
123	194.598 526.763 77.5694 1501.52 173.689 183.008 1645.79 317.344 306.269 446.59 399.123 800.529 623.402 28.82 384.601 144.352 289.651 582.598 230.715 5623.53 321.015 511.981 271.068 493.018 467.005 64.5062 104.746 377.414 530.223 263.509 1973.08 584.578 183.404 122.573 3660.35 154.879 609.784 389.645 172.92 352.941 684.327 756.295 64.694 98.1462 389.783 0 115.84 356.586 1236.98 266.937 
124	210.754 519.662 223.589 1125.97 695.828 379.935 1481.74 764.892 194.213 202.119 361.517 705.882 634.626 70.6666 412.728 168.265 260.992 1150.32 570.572 3066.34 597.811 536.369 343.366 820.841 1651.94 40.8567 255.979 210.755 556.963 297.922 781.027 349.988 123.633 840.917 2320.61 238.134 979.337 724.366 144.1 370.17 685.522 1954.08 57.92 288.452 554.413 31.3706 353.876 694.07 838.281 262.229 
125	622.712 2585.2 3652.34 5491.61 5523.87 1934.57 7136.61 5102.19 1569.31 1062.91 1401 2203.58 1379.63 643.695 1051.97 547.087 293.963 4441 4141.4 14737.8 3524.09 1970.09 1969.67 2191.99 9880.45 182.362 2342.84 700.445 1331.32 1836.43 3888.49 2042.66 2077.51 6264.12 9628.74 2439.64 5456.98 3405.28 57.64 902.161 3065.13 12376.4 298.019 2954.6 1623.48 462.201 1893.72 1610.05 3600.27 549.212 
126	91.5354 648.049 350.657 881.551 265.768 288.545 802.36 347.05 246.386 185.085 492.772 797.067 705.882 201.74 554.429 301.011 118.862 202.72 439.305 505.373 307.205 204.284 369.777 104.262 379.111 118.862 259.38 220.388 693.166 404.518 393.734 425.988 175.328 219.469 348.713 118.862 530.223 220.388 0 473.538 820.631 337.333 155.305 232.372 155.305 172.92 208.135 193.519 194.082 284.996 
127	2614.44 6288.67 15692.4 11619.4 19459.6 6239.84 15569.4 16258.3 5476.34 3680.73 3442.72 4500.43 797.067 2304.85 905.204 867.777 40.8567 10474.8 14832.5 34190 9616.05 2283.5 4897.08 4200.73 31495.7 667.486 8091.19 1903.9 953.094 5233.96 8723.71 5106.23 8759.76 24903.2 21880 13751.9 14533.3 9617.3 144.1 594.121 7053.55 39333.2 1017.85 10741.6 997.151 1741.55 7222.62 1402.96 11690.2 367.711 
128	476.866 1364.64 938.725 2899.63 561.615 628.895 3804.51 1069.51 434.274 620.223 319.61 860.936 608.16 203.808 155.305 163.427 521.983 1650.06 879.124 4632.3 1255.53 894.19 467.228 1388.55 2997.05 293.963 244.577 392.654 312.203 0 1471.16 576.66 983.939 1124.99 4286.02 1262.6 2427.97 954.946 404.518 319.861 1935.14 5666.51 273.544 432.928 806.695 263.509 501.519 871.271 2152.02 408.567 
129	2848.32 9149.27 4744.92 16003.7 2331.66 2487.24 20069.4 2685.53 2232.34 3472.16 1989.77 5324.31 608.842 348.114 338.465 160.738 493.352 9622.42 3217.15 26637.9 7394.71 5754.81 3239.48 8354.89 12377.8 360.78 1160.98 2084.99 536.932 982.2 9501.06 3989.41 5392.91 4119.74 22293.1 6712.62 14318.2 5499.73 375.778 584.717 12884.1 23811.3 427.48 2170.07 4770.68 578.407 1217.42 2603.4 10434.1 388.775 
130	427.6 903.657 548.29 1524.77 216.45 216.847 1884.89 246.06 255.947 424.058 261.473 733.808 608.852 175.131 182.552 144.429 493.153 981.509 465.634 2583.65 735.449 816.792 421.672 912.163 1079.1 265.573 145.902 369.621 336.7 96.8252 1058.65 473.554 535.148 353.601 2108.21 651.967 1362.07 605.444 375.578 318.56 1279.49 2181.78 246.199 239.969 645.404 203.61 219.469 550.436 972.403 388.642 
131	1410.33 5311.66 2234.21 8861.99 1006.18 1314.71 11213.1 0 1083.52 1749.41 1150.17 2932.7 610.885 210.918 284.086 129.388 464.743 4935.72 1604.22 14344.8 3729.02 2876.28 1623.55 4225.29 7614.6 247.114 487.774 1066.65 430.024 1069.51 4926.94 2135.74 2539.67 2064.91 11946.4 3263.92 8600.48 2767.21 347.05 428.774 7341.33 11852.6 280.606 986.752 2444.38 317.344 710.987 1466.25 5474.12 370.17 
132	983.687 970.4 721.278 2877.14 419.497 397.549 3532.92 796.527 410.247 682.184 572.261 1243.41 632.266 49.5184 322.268 129.388 350.657 3829.75 629.538 7391.77 1450.2 2378.01 871.894 3123.95 1735.73 129.012 212.782 475.42 465.914 448.382 2463.52 973.758 618.857 740.345 5436.24 1591.96 1610.19 1979.83 232.372 349.636 1289.63 2065.93 122.57 431.649 1873.78 69.5054 304.184 968.7 2142.45 311.701 
133	990.099 1233.84 467.777 3533.29 967.916 672.472 4530.37 1488.41 556.27 801.268 627.951 1232.03 640.748 63.683 350.657 144.548 322.268 4381.81 784.671 9581.78 1637.27 2271.91 841.661 3354.61 3471.24 111.092 428.837 536.831 492.772 647.182 2764.88 990.879 600.846 1191.62 7436.76 1514.56 2369.33 2216.71 203.808 362.466 1565.16 3699.41 137.365 613.817 2090.48 76.729 573.652 1691.78 2959.38 302.231 
134	1125.51 1660.17 0 4517.08 1714.21 881.541 5779.91 2234.21 761.449 957.552 901.15 1785.76 1300.79 125.389 758.221 326.854 587.925 5240.6 1147.64 12134 2113.72 2741.02 1202.06 3884.43 4880.13 163.427 767.335 650.613 1039.68 938.725 3490.72 1384.11 683.253 1642.85 9089.45 1278.86 3205.02 2623.12 350.657 754.134 2078.94 5388.31 185.13 981.665 2451.51 77.5694 697.212 1969.29 3502.18 590.561 
135	936.963 1977.2 1278.86 4930.24 3021.49 1156.93 6358.41 3263.92 1041.28 980.093 1042.68 1790.02 672.992 259.274 436.163 220.415 237.724 5038.63 1896.63 13297.9 2426.25 2491.07 1381.82 3352.43 6741.62 74.3114 1335.32 661.642 574.488 1262.6 3685.86 1620.15 1036.13 2938.44 9493.23 0 3978.56 2555.7 118.862 410.802 2413.75 7719.48 148.974 1672.45 2188.49 154.879 881.637 1804.34 3560.44 289.6 
136	281.656 791.477 928.811 1826.88 1518.98 510.276 2365.08 1478.75 481.417 375.112 490.828 831.723 699.617 197.69 493.352 258.025 182.362 1689.82 1123.09 4956.11 996.361 774.668 634.123 957.437 2930.94 81.7135 672.465 241.52 629.67 550.577 1354.68 714.827 594.618 1586.56 3366.14 501.18 1628.6 929.106 64.5062 449.424 945.663 3484.17 122.57 858.836 638.969 140.911 486.395 564.832 1290.69 295.28 
137	1096.56 3128.6 5408.55 6498.5 6763.07 1983.05 8285.33 5956.53 2170.45 1561.43 1785.26 2635.65 746.151 615.088 579.303 341.571 104.068 5685.47 4917.44 17465.6 4385.13 2305.12 2775.73 2453.68 10629.2 189.083 3207.02 904.035 713.172 2347.82 5073.51 3016.31 3315.21 6910.22 10825.2 4217.52 6198.77 3793.46 40.8567 514.078 3655.44 13960.4 296.664 4205.25 1453.85 456.836 1710.87 962.578 4587.27 323.47 
138	186.178 727.824 1178.97 1277.87 1679.4 670.815 1596.17 1492.07 513.282 352.022 556.963 857.992 763.21 335.896 607.985 364.725 81.7135 1000.33 1421.86 3415.88 718.975 258.032 400.875 384.415 3144.81 182.362 655.621 272.838 741.156 551.269 795.379 490.468 654.216 2217.4 2365.39 932.125 1358.09 701.366 64.5062 536.995 867.297 3577.86 219.652 861.604 208.124 264.439 781.413 289.826 1116.99 337.297 
139	988.587 3079.57 1320.48 5193.25 512.881 545.582 6394.54 806.478 716.187 1114.28 758.085 1866.55 639.722 155.305 203.808 155.851 469.233 3113.46 893.058 8900.99 2083.44 2093.32 989.955 2672.58 4652.61 246.386 327.813 745.901 348.524 718.599 3295.27 1556.46 1641.62 888.068 6967.32 1944.83 4387.61 1600.71 350.657 348.713 4392.02 4376.89 232.633 651.246 1522.93 182.362 286.127 638.029 3128.49 393.241 
140	1634.51 1282.45 1714.21 4345.38 0 549.51 5441.9 1006.18 790.244 1208.77 731.761 1558.68 653.213 158.647 289.651 147.64 384.601 6307.89 948.403 11814.7 1850.48 3559.97 929.37 5059.34 2889.63 168.265 450.212 768.2 428.676 561.615 3818.63 1318.39 1363.04 1288.78 9240.31 3021.49 2155.34 2891.09 265.768 366.142 1710.71 2215.22 195.05 1017 2980.44 173.689 561.236 1833.38 3951.37 349.636 
141	1165.13 1739.72 534.182 4571.38 1424.13 746.638 5582.06 2048.27 893.336 1088.45 1069.39 2024.81 1355.11 216.369 751.555 370.17 602.021 4786.39 649.908 10818.5 1586.26 2518.35 973.7 3476.07 4629.39 220.67 803.298 848.533 1021.78 982.003 3335.63 1423.52 896.993 926.715 8354.66 1205.33 2854.23 1965.09 364.725 803.665 2244.15 4280.43 284.999 1103.56 2317.59 173.528 449.575 1992.42 3486.63 647.465 
142	1321.52 1641.37 471.017 4365.18 991.694 353.812 5027.37 1311.79 739.863 973.332 1042.29 2019.17 677.622 64.7834 375.977 185.21 300.819 4966.21 448.601 9981.52 1828.96 3503.61 1393.78 3850.88 2019.01 104.151 726.718 717.107 511.081 892.255 3790.92 1884.33 898.081 364.217 6379.29 1159.34 2230.84 2028.12 182.173 401.933 2129.9 2768.38 119.323 1021.81 2346.15 57.9203 57.9203 642.542 2348.81 323.697 
143	845.331 588.715 1499.73 2406.24 989.047 675.749 3073.97 3676.74 710.136 895.111 425.075 891.303 704.855 440.944 86.46 387.037 758.221 2037.47 1397.41 4784.18 1692.78 1415.54 851.091 1780.79 5694.65 531.536 543.442 651.037 119.371 1084.5 1835.6 945.89 1634.83 1313.93 4355.9 1808.93 1701.71 1224.06 639.965 457.182 836.357 9757.17 510.89 785.198 1116.41 469.233 546.349 806.96 2409.11 624.405 
144	547.087 155.851 758.221 920.148 289.651 328.902 835.599 284.086 361.517 490.468 274.606 666.08 681.489 356.586 0 312.203 672.906 619.445 691.68 710.99 374.93 729.45 297.061 629.67 321.395 447.551 301.011 544.518 163.427 155.305 633.708 337.297 392.159 346.04 676.62 436.163 159.147 475.448 554.429 414.293 288.705 587.123 428.676 337.521 706.674 384.601 375.778 720.5 529.684 554.665 
145	505.051 526.848 732.702 1482.15 313.762 246.573 1625.37 829.808 366.078 518.465 285.531 720.7 668.569 273.544 86.46 245.14 587.925 1089.04 624.457 2384.88 731.363 882.642 389.508 1003.91 1457.71 364.725 248.866 473.538 232.633 228.43 1141.93 555.954 708.189 343.295 1947.03 768.113 603.541 638.436 469.233 386.28 886.258 2287.65 348.524 363.428 703.822 301.011 289.651 634.04 955.479 490.281 
146	1114.67 2714.01 1765.91 6275.43 905.966 940.882 8207.23 2383.17 965.591 1347.31 921.304 2171.83 1333.41 408.228 355.61 388.164 1006.9 3496.37 1449.67 10328.2 2074.86 1953.85 768.11 2859.78 9142.31 568.144 515.843 999.969 621.219 754.624 3338.25 1566.01 2008.55 1780.37 9040.67 2399.09 4139.93 1710.06 769.203 771.031 4041.6 5909.39 546.424 903.55 1772.5 517.171 778.852 1562.52 4441.05 867.29 
147	4020.97 12583.6 6081.88 24209.4 2526.04 2467.26 30533.3 7615.99 3570.13 5161.68 3652.22 8325.43 668.569 451.285 479.334 246.505 475.448 14000 3532.83 41193.6 8061.45 8141.27 3273.33 11664.9 29511.5 435.159 1698.58 3113.7 680.443 3954.73 14549.4 7145.38 7599.95 4562.48 33179.6 8729.81 17971.2 6597.15 356.586 886.561 18344.2 13190.3 548.429 3239.94 6586.13 767.108 1310.67 3430.82 15382.6 417.047 
148	807.684 715.571 729.048 2194.94 297.866 168.504 2710.59 632.419 438.57 604.113 516.057 1067.05 688.16 91.5354 317.02 183.071 364.725 3098.7 207.619 5888.48 748.462 1867.09 486.41 2420.65 1485.86 163.427 340.1 451.403 447.551 349.224 1997.56 877.089 699.86 233.48 4334.11 1271.22 1042.83 1158.7 246.386 403.115 978.353 1088.62 168.649 615.921 1398.61 104.262 140.43 673.61 1821.03 366.142 
149	1465.45 1611.61 1147.64 4682.19 948.403 449.908 5586.78 1604.22 966.182 1251.64 1094.86 2168.23 1391.92 239.615 691.68 388.164 675.042 5399.99 0 10967.7 1359.53 3119.74 901.764 4080.96 3632.44 289.097 782.015 951 950.895 879.124 3735.51 1622.06 1226.54 3.6124 8267.48 1896.63 2376.47 1909.24 439.305 828.586 2141.39 2847.68 328.143 1228.33 2592.26 230.715 235.784 1736.36 3574.99 716.228 
150	2204.38 2035.6 1642.85 6401.81 1288.78 460.057 7812.03 2064.91 1261.27 1659.45 1322.98 2612.85 696.019 136.228 346.04 194.171 337.333 8583.74 3.6124 16752.6 2173.31 5238.75 1477.75 6591.62 4158.4 144.429 1110.78 1064.52 475.642 1124.99 5837.07 2519.37 1871.76 0 11715 2938.44 3196.53 2977.85 219.469 414.376 2666.6 3826.4 155.777 1820.25 3805.35 122.573 160.767 1520.87 4746.54 358.066 
151	14209.6 14938.4 9478.78 43367.1 10635.9 2782.3 51399.6 13951.5 8440.48 10615.1 9841.5 18630.5 2114.56 672.831 1123.98 625.57 931.828 54557.7 3011.49 107117 15303.1 35914.1 11879.3 41387 21967.7 507.913 8500.06 7099.1 1510.34 8601.09 40006.2 19228.6 12072 2602.47 69063.7 14982.4 21633.4 17605.2 580.556 1281.38 19400.4 26604.6 635.296 12817.7 23885.9 593.217 210.221 6284.6 26637.9 1056.8 
152	691.464 895.351 689.865 2568.59 1119.14 334.477 3267.61 1349.07 590.786 640.28 587.705 1088.31 714.801 147.27 403.48 225.737 284.072 3110.49 514.322 7071.37 872.296 1581.17 609.889 2152 2883.09 119.371 634.501 408.52 531.536 570.87 2145.32 961.332 745.175 689.74 5130.31 751.26 1653.48 928.942 168.265 441.469 1127.14 2778.89 144.8 907.836 1280.93 113.504 147.023 814.741 2119.35 348.713 
153	611.72 1115.22 1969.29 1899.53 1833.38 483.488 2154.83 1466.25 780.864 643.227 820.569 1149.49 880.852 384.601 720.5 492.772 129.388 1790.37 1736.36 4384.52 1395.19 736 1140.39 965.151 2136.75 310.609 1079.21 441.454 843.77 871.271 1611.11 1281.63 1261.95 1520.87 2564.59 1804.34 1530.52 1130.89 193.519 1267.56 1308.57 3330.41 348.524 1388 360.537 356.586 389.564 0 1299.12 451.475 
154	1548.16 2011.95 3381.76 8070.72 2228.3 1753.23 10606.2 7619.19 1736.04 2150.34 1124.11 2464.35 700.397 470.263 91.9536 285.997 622.301 5327.09 2564.43 14286.1 3529.92 2638.92 1231.21 4428.59 16138.8 436.011 1089.51 1219.65 241.511 1764.46 4810.14 2228.31 3715.78 3645.01 13103.2 4282.34 2710.27 2805.72 503.448 595.173 3665.08 19434.3 519.791 1790.68 2466.96 648.378 1250.01 1825.27 6981.95 531.138 
155	510.066 1254.18 690.474 2714.83 321.777 262.452 3491.63 1285.82 426.883 579.215 427.654 969.431 697.426 184.888 203.808 210.755 483.32 1527.91 530.382 4600.87 757.395 978.107 297.204 1240.39 4196.21 272.259 213.137 435.245 328.709 531.266 1559.68 790.856 859.985 562.144 3794.15 960.659 1781.5 664.164 364.725 406.463 1865.34 1057.46 266.255 390.067 740.512 208.135 250.042 581.136 1809.36 441.469 
156	1800.01 5646.1 2530.45 11041.6 1007.49 829.232 13881.9 5200.13 1698.09 2345.06 1900.71 4030.12 1400.79 399.089 548.397 409.517 911.812 6054.42 1488.27 18268.1 2769.6 3529.81 1086.28 4921.65 16080.8 507.579 818.056 1514.37 782.706 2545.11 6464.95 3442.09 3217.16 1712.38 14556.7 3496.65 8062.37 2513.38 675.042 961.136 8175.12 27.7151 559.778 1488.66 2897.75 521.478 677.054 1762.45 6790.22 854.251 
157	3684.81 12504.2 5388.31 24201.1 2215.22 1795.84 30860.3 11852.6 3624.42 4967.44 3966.68 8347.28 700.422 455.241 587.123 289.489 455.716 13271.4 2847.68 41009.1 6109.1 7380.31 2318.45 10702.8 37024.3 441.856 1717.93 3001.5 762.082 5666.51 14069.9 7434.69 7086.2 3826.4 32705.6 7719.48 18246 5438.04 337.333 1021.61 18056.5 0 574.279 3202.29 6033.42 756.295 1155.37 3330.41 15151.7 427.031 
158	1169.32 4468.61 1471.96 7554.36 527.645 386.068 9426.23 4005.01 1103.94 1529.36 1333.17 2757.13 704.535 144.548 260.992 202.72 428.676 4151.47 726.03 13025.6 1788.5 2525.99 800.512 3346.9 10701.9 225.54 508.163 941.348 384.601 2165.43 4662.85 2602.88 2108.77 785.378 9813.48 2187.15 6427.14 1590.17 310.609 414.556 6302.33 2674.02 225.737 949.909 1876.24 192.517 246.93 815.249 4359.7 414.293 
159	35946.6 67980.8 41675.9 211208 22623.2 9639.13 263233 84811 32390.4 42419.2 40817.6 79309.2 716.228 4675.47 3450.96 1453.37 402.3 142436 12366.9 393191 42942 74539 24144 107577 215135 2442.75 19693.6 26449.3 3905.22 38773.7 136938 77393.8 53983.9 18003.2 285934 62938.2 114445 45522 258.025 5181.08 90946.8 124888 3443.7 34135.8 61838.8 4233 6434.7 37903.7 122644 393.734 
160	4508.95 7678.5 4168.86 16854.8 1793.37 1718.37 19834.6 6361.86 2963.57 4046.36 3586.49 7138.9 716.276 185.726 318.539 210.81 374.745 15613.7 1027.18 35505.1 15451.5 10511 10510.2 12470.2 10766.9 184.961 2035.81 2630.04 441.14 4175.53 13959.6 7402.66 5174.44 803.182 23625.2 6444.91 10325.9 5040.86 257.846 430.353 10425.6 8969.19 206.894 3511.84 7019.44 230.734 57.44 1600.7 9632.55 393.676 
161	5852.62 8879.6 6032 21660.7 4475.08 3310.34 26980.4 10837.3 4113.19 5125.66 4387.13 8254.7 1447.45 614.995 753.446 440.775 697.047 23118.4 1406.66 49333.1 14286.3 12843.4 9626.27 17265.6 23627.7 370.184 3542.65 3211.78 958.409 5295.71 16882.1 8243.57 6402.64 1811.85 35341.5 8893.08 14452.9 6622.24 465.265 1017.31 11693 18105.2 498.044 5782.99 9856.29 507.447 427.213 4918.36 14972.3 772.561 
162	808.206 846.096 697.212 2392.61 561.236 124.684 2708.71 710.987 517.193 639.582 640.021 1205.7 732.283 119.371 375.778 233.206 322.531 2740.06 235.784 5163.58 602.646 1870.23 546.582 2082.74 1049.04 155.851 502.812 485.884 497.583 501.519 2107.4 1093.49 727.982 160.767 3348.95 881.637 1056.64 711.888 208.135 452.858 1123.25 1155.37 176.134 744.342 1254.82 115.84 0 389.564 1376.06 380.867 
163	1947.17 1839.56 1897.59 5735.7 1758.63 341.154 6999.32 2171.64 1294.37 1543.18 1325.24 2480.4 732.346 150.708 375.977 233.305 322.352 7620.66 634.691 15163.9 1558.43 4530.02 1278.12 5621.92 4042.85 155.777 1324.58 989.767 497.78 1139.66 5337.26 2516.32 1962.04 669.07 10344 2535.82 2889.08 1930.77 207.969 452.947 2400.65 3906.91 176.101 2045.5 3175.1 129.509 0.6173 1141.83 4258.53 380.837 
164	233.206 475.448 305.911 970.238 407.679 150.553 1140.99 525.189 262.702 278.487 429.383 803.665 741.862 129.388 404.518 248.717 297.061 798.568 236.641 1929.24 173.38 388.577 184.888 526.664 1277.52 147.64 233.374 323.733 525.985 273.544 589.33 393.241 248.478 331.609 1677.4 266.551 577.134 189.287 184.888 466.411 650.364 916.625 173.76 306.35 407.873 119.371 60.6229 492.95 819.698 377.581 
165	2053.35 2473.19 2742.03 6957.43 3196.09 667.681 8544.96 3378.57 1726.54 1810.01 1674.18 2940.1 752.423 232.867 433.269 266.452 272.259 8529.05 1698.43 18439.9 2246.35 4797.34 1886.64 5826.64 5926.86 144.8 2035.25 1130.55 554.429 1667.9 6313.02 3173.86 2529.84 1875.88 12206 2541.67 4089.08 1727.55 163.427 481.31 3109.53 6698.08 176.134 2918.42 3281.09 178.167 232.001 1210.45 5007.47 376.48 
166	1795.53 2477.49 3206.25 6720.46 4049.27 958.171 8481.3 4115.33 1848.59 1780.14 1597.01 2639.91 763.926 380.703 462.029 285.997 248.327 7948.93 2352.16 18508.8 2339.7 3943.85 1774.41 5093.6 7931.15 164.102 2256.08 1094.25 582.911 1759.25 5827.71 2859.5 2630.08 3134.79 12718.7 2626.42 4513.38 1564.36 144.548 497.434 3056.72 8507.31 252.729 3166.4 2882.14 286.784 580.233 1455.03 5407.85 377.581 
167	928.784 1369.02 1911.73 3507.39 2250.65 514.001 4366.76 2166.22 997.064 926.807 989.581 1647.16 776.328 219.647 490.795 307.007 225.54 4039.7 1489.95 9466.44 1403.03 2052.71 1156.08 2506.38 3807.67 155.851 1284.13 594.941 611.424 983.107 3104.21 1734.1 1491.69 1704.03 6196.65 1527.17 2393.66 855.352 129.388 514.668 1709.76 4546.02 194.082 1782.11 1383.06 172.906 326.992 557.343 2615.78 380.867 
168	440.506 219.652 516.05 957.417 168.265 175.526 870.71 129.388 289.097 408.567 323.733 738.201 724 248.327 155.305 258.776 547.087 532.509 419.78 640.748 219.652 619.445 144.352 516.05 204.758 336.529 204.284 470.395 265.768 115.84 595.644 348.713 288.705 210.082 618.667 310.609 104.068 322.268 428.676 435.355 392.159 91.3709 329.201 245.14 583.9 272.259 232.372 579.303 449.424 497.434 
169	419.697 830.789 484.87 1660.29 169.947 91.3709 1837.22 806.711 330.128 462.529 401.032 853.283 729.144 185.085 237.724 233.466 465.914 1002.18 320.789 2585.52 380.08 782.472 167.876 859.648 1878.15 266.255 185.151 417.047 350.657 432.995 1175.76 689.212 549.67 175.183 1917.93 543.895 977.098 410.311 348.524 438.207 1246.39 472.175 266.452 288.697 597.404 204.284 146.981 493.352 877.91 452.858 
170	1812.2 2916.82 2353.05 7083.83 1418.07 639.756 8896.92 3865.29 1339.69 1673.68 1400.72 2644.56 744.364 265.383 322.268 238.743 387.037 6969.48 912.348 14925.8 4634.3 3706.38 2800.68 5249.72 8975.58 208.523 1112.03 1025.93 436.163 1804.53 5179.92 2656.8 2283.08 1201.99 10958.1 3258 4637.12 1940.3 272.259 457.677 3944.48 5267.78 220.939 1871.4 2950.18 210.009 316.338 1598.26 4844.38 421.51 
171	890.418 1657.51 1228.45 3857.23 976.359 582.156 4962.57 2606.37 724.677 853.5 765.53 1387.68 751.582 218.431 350.657 247.287 361.517 3667.12 512.418 7950.78 2315 1742.52 1585.14 2642.11 6236.18 194.082 658.391 531.638 464.743 1085.11 2573.58 1340.33 1139.67 726.032 5975.97 1610.56 2908.91 878.059 248.327 467.552 2183.85 4133.32 210.755 1062.35 1506.29 171.041 160.301 1038 2671.26 414.556 
172	1217.54 1193.96 1680.51 3711.62 1684.74 287.488 4647.32 1830.93 986.305 1068.81 895.478 1605.46 769.06 211.411 407.616 272.838 312.203 4933.82 891.453 10301.7 822.416 2599.92 753.909 3448.68 3662.59 176.134 1082.93 655.746 521.983 825.371 3398.72 1609.18 1493.88 1082.18 7291.79 1851.09 2043.28 801.855 204.284 491.794 1524.33 3371.62 202.72 1624.66 1919.81 176.356 139.219 893.326 3172.09 406.463 
173	766.194 155.305 1188.62 1064.1 503.448 518.96 984.261 428.676 580.556 709.568 451.475 779.518 828.586 574.488 219.652 529.684 888.048 838.581 1108.86 840.099 550.635 948.515 464.743 848.008 440.506 665.659 519.84 762.313 91.1812 374.93 839.506 531.138 611.009 554.627 889.299 650.364 260.992 663.492 769.203 595.88 91.5354 436.361 648.049 556.963 922.971 602.021 579.303 926.323 748.434 768.577 
174	2149.16 2545.44 4216.93 10562.5 2581.87 1632.28 13577.4 9791.84 2334.78 2889.6 1736.9 3520.48 755.163 441.611 163.631 312.785 611.009 7165.19 2842.53 19480.2 4050.04 3874.17 1439.48 5942.57 20495.3 412.099 1442.57 1652.64 239.373 2933.19 6995.19 3607.67 4983.19 3614.65 16577.1 5377.06 1571.13 3381.81 492.772 623.37 5000.16 20193.2 494.941 2378.38 3233.76 599.695 1059.73 1783.26 8550.11 555.255 
175	1042.44 2785.25 2039.79 7577.3 1245.57 738.668 10162.6 6074.29 1320.24 1600.29 1228.22 2365.84 755.163 353.053 323.218 266.937 503.713 3990.56 1375.9 12604.4 1494.65 1769.56 336.169 3070.59 17552.3 342.159 715.775 933.108 409.067 1934.57 3835.19 2012.89 2424.45 2077.74 11031.4 2641.18 4111.73 1516.36 387.037 676.42 4248.71 6776.05 425.478 1226.55 1732.63 488.197 749.965 1505.11 5586.43 491.794 
176	893.035 1359.11 1527.02 3618.98 1126.03 3.034 4770.49 2598.41 732.268 847.959 685.208 1229.14 772.561 298.987 328.709 266.937 400.875 3709.67 809.722 7496.37 1528.88 1567.8 845.449 2663.12 6784.79 233.206 702.686 507.724 433.269 954.486 2305.25 1135.78 1191.19 1254.67 5996.76 1940.99 2463.76 918.853 288.705 485.25 1829.34 3631.82 247.287 1153.07 1514.02 234.788 373.145 1303.6 2838.7 449.436 
177	700.786 960.219 881.541 2348.6 549.51 0 2895.6 1314.71 522.323 663.701 616.767 1178.19 772.606 176.101 328.902 266.981 400.702 2348.72 449.908 5052.99 1065.47 1426.22 752.49 1778.42 2766.15 233.107 415.313 502.999 433.468 628.895 1904.55 1089.21 863.03 460.057 3623.8 1156.93 1416.04 584.866 288.545 485.309 1334.99 1795.84 247.217 684.079 994.279 183.008 124.684 483.488 1615.69 449.385 
178	406.933 703.749 704.244 1755.9 599.52 214.893 2325.86 1406.29 355.582 397.092 433.645 828.586 779.518 191.484 356.586 274.606 376.294 1737.55 421.325 3610.88 658.435 719.873 508.006 1215.84 3559.22 220.388 355.066 393.734 462.029 507.455 1088.08 598.86 555.202 591.524 2860.85 859.349 1331.53 359.557 266.255 494.574 925.371 2210.79 238.743 566.055 691.841 176.134 164.549 706.128 1346.12 442.921 
179	678.689 691.186 1277.74 2142.38 1371.5 253.924 2776.05 1384.85 668.885 667.702 566.029 981.106 806.231 249.201 440.944 312.785 307.007 2871.9 885.08 6319.33 435.523 1280.47 409.404 1902.52 3000.16 202.72 760.283 413.829 548.345 527.338 1901.08 901.791 999.507 1205.19 4718.36 1286.69 1323.86 222.281 208.523 531.018 869.422 2642.19 233.466 1121.6 1044.92 207.968 258.419 674.414 2184.86 434.4 
180	943.367 1142.29 2290.15 3232.77 2676.32 606.506 4243.45 2556.86 1111.95 1017.49 769.21 1210.94 828.586 412.084 497.583 347.981 266.452 4127.26 1785.79 9692.04 949.455 1663.62 680.366 2551.71 5439.63 210.755 1348.31 596.012 605.912 914.641 2793.09 1267.36 1646.2 2674.11 7173.59 2078.81 2331.2 329.918 183.071 561.43 1387.21 5233.51 281.289 1925.25 1367.37 328.424 644.998 851.387 3394.2 438.207 
181	749.86 118.862 1148.98 1080.63 483.32 490.995 999.59 412.992 569.13 697.898 457.182 800.812 843.742 556.963 208.135 520.338 867.297 826.742 1063.07 844.26 519.568 931.828 433.269 830.283 433.057 648.049 503.713 752.588 57.64 361.517 837.713 532.904 594.575 531.731 883.847 629.67 230.56 634.04 748.476 601.651 81.7135 412.923 632.59 541.956 903.032 583.9 554.429 900.899 737.39 762.229 
